product_id,display_name,generic_key,form,route,concentration,dose_output_status,auto_dose_enabled,age_bw_rule,dose_basis,max_dose,source_ids,review_reasons,source_runtime_path,coverage_id,source_pack_id,final_verification_status,final_clinical_readiness,final_fast_mode_allowed,final_rx_role,source_titles,source_urls,source_organizations,source_years,source_sections,source_snippets_short,evidence_claim_ids,disease_strategy_verified,drug_class_verified,generic_verified,product_label_verified,product_match_verified,dose_verified,pediatric_verified,antibiotic_criteria_verified,no_antibiotic_verified,red_flag_verified,exact_evidence_missing,exact_block_reason,exact_next_action,can_show_in_main_builder,can_show_in_peds_page,can_show_in_swaps,catalog_only_reason,pediatric_unlock_status,antibiotic_unlock_status,antiviral_unlock_status,clinical_readiness_refreshed,refresh_action,refresh_reason,remaining_source_gap,next_action
BDS047722,Singulair 5 mg Box 28s [Montelukast Sodium 5.2 mg.],montelukast sodium,powder,oral,"{""manual_review"": true, ""matched_text"": ""5.2 mg"", ""parse_status"": ""unit_strength_only"", ""review_reason"": ""not_a_liquid_concentration"", ""unit"": ""mg"", ""value"": 5.2}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; concentration_missing_or_requires_review,data/pediatric/peds_product_dose_output.json:items[0],coverage_8226830a3564,thai_pediatric_dose,blocked_peds_missing_required_fields,blocked,false,,,,,,,,,,,,,,,,,,,concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form",false,true,false,,blocked_peds_missing_required_fields,not_applicable,not_applicable,blocked,keep_blocked_or_manual_review,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,true,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form"
BDS001084,Azith Oral Suspension [Azithromycin 200 mg./5 ml.],azithromycin,suspension,oral,"{""manual_review"": false, ""matched_text"": ""200 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 40.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source,data/pediatric/peds_product_dose_output.json:items[1],coverage_ade92b693d17,thai_pediatric_dose,blocked_peds_missing_required_fields,blocked,false,,,,,,,,,,,,,,,,,,,adult_dose_source; antibiotic_criteria_source; concentration_source; disease_strategy_source; duration_source; max_dose_source; pediatric_dose_source; route_form_source,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form",false,true,false,,blocked_peds_missing_required_fields,blocked_peds_missing_required_fields,not_applicable,blocked,keep_blocked_or_manual_review,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,true,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form"
BDS001441,Cefspan Suspension [Cefixime 100 mg./5 ml.],cefixime,suspension,oral,"{""manual_review"": false, ""matched_text"": ""100 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 20.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source,data/pediatric/peds_product_dose_output.json:items[2],coverage_41ea1795f484,thai_pediatric_dose,blocked_peds_missing_required_fields,blocked,false,,,,,,,,,,,,,,,,,,,adult_dose_source; antibiotic_criteria_source; concentration_source; disease_strategy_source; duration_source; max_dose_source; pediatric_dose_source; route_form_source,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form",false,true,false,,blocked_peds_missing_required_fields,blocked_peds_missing_required_fields,not_applicable,blocked,keep_blocked_or_manual_review,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,true,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form"
BDS002206,Ibilex Syrup [Cephalexin 125 mg./5 ml.],cephalexin,syrup,oral,"{""manual_review"": false, ""matched_text"": ""125 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 25.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source,data/pediatric/peds_product_dose_output.json:items[3],coverage_e6dd452f13c4,thai_pediatric_dose,blocked_peds_missing_required_fields,blocked,false,,,,,,,,,,,,,,,,,,,adult_dose_source; antibiotic_criteria_source; concentration_source; disease_strategy_source; duration_source; max_dose_source; pediatric_dose_source; route_form_source,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form",false,true,false,,blocked_peds_missing_required_fields,blocked_peds_missing_required_fields,not_applicable,blocked,keep_blocked_or_manual_review,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,true,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form"
BDS007586,Newtamox For Oral Suspension [Amoxicillin 125 mg./5 ml.],amoxicillin,suspension,oral,"{""manual_review"": false, ""matched_text"": ""125 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 25.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source,data/pediatric/peds_product_dose_output.json:items[4],coverage_898cf8ec8e40,thai_pediatric_dose,blocked_peds_missing_required_fields,blocked,false,,,,,,,,,,,,,,,,,,,adult_dose_source; antibiotic_criteria_source; concentration_source; disease_strategy_source; duration_source; max_dose_source; pediatric_dose_source; route_form_source,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form",false,true,false,,blocked_peds_missing_required_fields,blocked_peds_missing_required_fields,not_applicable,blocked,keep_blocked_or_manual_review,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,true,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form"
BDS046209,Onzet Oral Suspension [Azithromycin 200 mg./5 ml.],azithromycin,suspension,oral,"{""manual_review"": false, ""matched_text"": ""200 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 40.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source,data/pediatric/peds_product_dose_output.json:items[5],coverage_134a79430fe8,thai_pediatric_dose,blocked_peds_missing_required_fields,blocked,false,,,,,,,,,,,,,,,,,,,adult_dose_source; antibiotic_criteria_source; concentration_source; disease_strategy_source; duration_source; max_dose_source; pediatric_dose_source; route_form_source,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form",false,true,false,,blocked_peds_missing_required_fields,blocked_peds_missing_required_fields,not_applicable,blocked,keep_blocked_or_manual_review,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,true,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form"
BDS003549,Sia-Mox Syrup 125 mg [Amoxicillin 125 mg./5 ml.],amoxicillin,syrup,oral,"{""manual_review"": false, ""matched_text"": ""125 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 25.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source,data/pediatric/peds_product_dose_output.json:items[6],coverage_963373fcbc06,thai_pediatric_dose,blocked_peds_missing_required_fields,blocked,false,,,,,,,,,,,,,,,,,,,adult_dose_source; antibiotic_criteria_source; concentration_source; disease_strategy_source; duration_source; max_dose_source; pediatric_dose_source; route_form_source,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form",false,true,false,,blocked_peds_missing_required_fields,blocked_peds_missing_required_fields,not_applicable,blocked,keep_blocked_or_manual_review,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,true,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form"
BDS003550,Sia-Mox Syrup 250 mg [Amoxicillin 250 mg./5 ml.],amoxicillin,syrup,oral,"{""manual_review"": false, ""matched_text"": ""250 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 50.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source,data/pediatric/peds_product_dose_output.json:items[7],coverage_abc38bc1d57f,thai_pediatric_dose,blocked_peds_missing_required_fields,blocked,false,,,,,,,,,,,,,,,,,,,adult_dose_source; antibiotic_criteria_source; concentration_source; disease_strategy_source; duration_source; max_dose_source; pediatric_dose_source; route_form_source,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form",false,true,false,,blocked_peds_missing_required_fields,blocked_peds_missing_required_fields,not_applicable,blocked,keep_blocked_or_manual_review,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,true,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form"
BDS007682,Xalin Dry Syrup 125 mg [Cloxacillin 125 mg./5 ml.],cloxacillin,syrup,oral,"{""manual_review"": false, ""matched_text"": ""125 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 25.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; antibiotic_requires_disease_specific_indication; antibiotic_requires_duration_source,data/pediatric/peds_product_dose_output.json:items[8],coverage_a9141018b46b,thai_pediatric_dose,blocked_peds_missing_required_fields,blocked,false,,,,,,,,,,,,,,,,,,,adult_dose_source; antibiotic_criteria_source; concentration_source; disease_strategy_source; duration_source; max_dose_source; pediatric_dose_source; route_form_source,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form",false,true,false,,blocked_peds_missing_required_fields,blocked_peds_missing_required_fields,not_applicable,blocked,keep_blocked_or_manual_review,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,true,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form"
BDS008609,Ampol Suspension [Paracetamol 120 mg./5 ml.],paracetamol,suspension,oral,"{""manual_review"": false, ""matched_text"": ""120 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 24.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[9],coverage_5dc5ab9ef558,pain_fever_nsaid_paracetamol,blocked_peds_missing_required_fields,blocked,false,,,,,,,,,,,,,,,,,,,concentration_source; disease_strategy_source; max_dose_source; pediatric_dose_source; route_form_source,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form",false,true,false,,blocked_peds_missing_required_fields,not_applicable,not_applicable,blocked,keep_blocked_or_manual_review,concentration_source; max_dose_source; pediatric_dose_source; route_form_source,true,"add accepted pediatric source with age/BW, dose basis, max dose, concentration, route/form"
