regimen_id,disease_key,disease_name,ICD10,complaint_key,role,tier,default_row,product_id,drug_name,composition,BDS,sig,duration,dispense,caution,side_effect,clinical_readiness,fast_mode_allowed,evidence_status,source_status,blocked_reason,missing_requirements,next_action,old_runtime_status,source_runtime_path,row_source,issue_id,severity,issue_type,recommended_action,source_ids,source_titles,source_urls,source_organizations,source_years,source_sections,source_snippets_short,evidence_claim_ids,disease_strategy_verified,drug_class_verified,generic_verified,product_label_verified,product_match_verified,dose_verified,pediatric_verified,antibiotic_criteria_verified,no_antibiotic_verified,red_flag_verified,clinical_readiness_refreshed,refresh_action,refresh_reason,remaining_source_gap,source_ids,source_titles,source_urls,source_organizations,source_years,source_sections,source_snippets_short,evidence_claim_ids,disease_strategy_verified,drug_class_verified,generic_verified,product_label_verified,product_match_verified,dose_verified,pediatric_verified,antibiotic_criteria_verified,no_antibiotic_verified,red_flag_verified,clinical_readiness_refreshed,refresh_action,refresh_reason,remaining_source_gap,next_action
FRM0028,tinea_pruritic_rash_adult,Tinea corporis / pruritic fungal rash,,CI0074,RX NOW,RX1,True,BDS001491,Canasone C.B. Cream [Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w],Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,BDS001491,apply thinly BID,7 days,1 tube (15 g),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[73].r[0].m[0],regimen,,,,,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,product manual review; verified guideline source,true,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,product manual review; verified guideline source,true,attach accepted source evidence
FRM0028,tinea_pruritic_rash_adult,Tinea corporis / pruritic fungal rash,,CI0075,RX NOW,RX1,True,BDS001491,Canasone C.B. Cream [Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w],Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,BDS001491,apply thinly BID,7 days,1 tube (15 g),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[74].r[0].m[0],regimen,,,,,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,product manual review; verified guideline source,true,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,product manual review; verified guideline source,true,attach accepted source evidence
FRM0028,tinea_pruritic_rash_adult,Tinea corporis / pruritic fungal rash,,CI0076,RX NOW,RX1,True,BDS001491,Canasone C.B. Cream [Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w],Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,BDS001491,apply thinly BID,7 days,1 tube (15 g),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[75].r[0].m[0],regimen,,,,,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,product manual review; verified guideline source,true,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,product manual review; verified guideline source,true,attach accepted source evidence
FRM0031,minor_skin_infection_topical_adult,Topical bacterial skin support (nonspecific),,CI0083,RX NOW,RX1,False,BDS002003,Garamycin Cream [Gentamicin 1 mg./1 g.],Gentamicin 1 mg./1 g.,BDS002003,apply thinly TID–QID,5 days,1 tube (5 g),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[82].r[0].m[0],regimen,,,,,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,product manual review; verified guideline source,true,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,product manual review; verified guideline source,true,attach accepted source evidence
FRM0031,minor_skin_infection_topical_adult,Topical bacterial skin support (nonspecific),,CI0084,RX NOW,RX1,False,BDS002003,Garamycin Cream [Gentamicin 1 mg./1 g.],Gentamicin 1 mg./1 g.,BDS002003,apply thinly TID–QID,5 days,1 tube (5 g),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[83].r[0].m[0],regimen,,,,,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,product manual review; verified guideline source,true,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,product manual review; verified guideline source,true,attach accepted source evidence
FRM0031,minor_skin_infection_topical_adult,Topical bacterial skin support (nonspecific),,CI0085,RX NOW,RX1,False,BDS002003,Garamycin Cream [Gentamicin 1 mg./1 g.],Gentamicin 1 mg./1 g.,BDS002003,apply thinly TID–QID,5 days,1 tube (5 g),,,manual_review_required,False,pending_source_collection,pending_manual_review,product manual review; verified guideline source,product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[84].r[0].m[0],regimen,,,,,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,product manual review; verified guideline source,true,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,product manual review; verified guideline source,true,attach accepted source evidence
FRM0033,bacterial_sinusitis_adult,Acute bacterial sinusitis,,CI0089,RX NOW,RX1,True,BDS001103,AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,BDS001103,1 tab PO BID,5 days,1 box (10 tabs),,,manual_review_required,False,pending_source_collection,pending_manual_review,antibiotic source-linked rule; product manual review; verified guideline source,antibiotic source-linked rule; product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[88].r[0].m[0],regimen,,,,,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,antibiotic source-linked rule; product manual review; verified guideline source,true,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,antibiotic source-linked rule; product manual review; verified guideline source,true,attach accepted source evidence
FRM0033,bacterial_sinusitis_adult,Acute bacterial sinusitis,,CI0090,RX NOW,RX1,True,BDS001103,AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,BDS001103,1 tab PO BID,5 days,1 box (10 tabs),,,manual_review_required,False,pending_source_collection,pending_manual_review,antibiotic source-linked rule; product manual review; verified guideline source,antibiotic source-linked rule; product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[89].r[0].m[0],regimen,,,,,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,antibiotic source-linked rule; product manual review; verified guideline source,true,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,antibiotic source-linked rule; product manual review; verified guideline source,true,attach accepted source evidence
FRM0033,bacterial_sinusitis_adult,Acute bacterial sinusitis,,CI0091,RX NOW,RX1,True,BDS001103,AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,BDS001103,1 tab PO BID,5 days,1 box (10 tabs),,,manual_review_required,False,pending_source_collection,pending_manual_review,antibiotic source-linked rule; product manual review; verified guideline source,antibiotic source-linked rule; product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[90].r[0].m[0],regimen,,,,,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,antibiotic source-linked rule; product manual review; verified guideline source,true,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,antibiotic source-linked rule; product manual review; verified guideline source,true,attach accepted source evidence
FRM0034,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,,CI0092,RX NOW,RX1,True,BDS002201,Ibiamox 500 mg [Amoxicillin 500 mg.],Amoxicillin 500 mg.,BDS002201,1 cap PO TID,5 days,2 strips (20 caps),,,manual_review_required,False,pending_source_collection,pending_manual_review,antibiotic source-linked rule; product manual review; verified guideline source,antibiotic source-linked rule; product manual review; verified guideline source,attach accepted source evidence,pending_source_collection,data/core/app_seed_runtime.json:cp[91].r[0].m[0],regimen,,,,,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,antibiotic source-linked rule; product manual review; verified guideline source,true,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,antibiotic source-linked rule; product manual review; verified guideline source,true,attach accepted source evidence
